id,SalePrice
2658,178411.94962218168
2718,215011.47788003646
2414,199848.36898689537
1989,116834.72839267277
625,185748.12445712517
333,93349.43772040741
1327,99572.51694009379
858,144504.14271901664
95,221912.5141730365
1568,176905.3921567401
2482,179747.37262675614
1364,136337.6240043185
2584,177786.29884886753
818,293893.4151289602
2673,162388.82944478389
2089,104186.37850554343
1297,182297.57651737993
790,127792.20006575221
2616,195037.88381689342
720,201056.76807476536
222,126880.19429310026
557,134791.28228333074
1148,212862.17863381043
2766,156950.30702850365
534,211996.02201730406
1452,117792.44355534378
630,115872.19670357049
2648,116421.37604701852
125,154771.1585370245
1904,22517.713439341635
1670,112886.93442946866
756,104156.83749036725
717,253083.58578340604
1032,146467.5643316002
852,232491.09069006858
1731,198256.52056979755
2639,113685.38263423891
2071,73716.66903831673
1267,94886.72411212209
1851,222090.40126114272
567,170464.8647148688
2439,223656.49097455802
1898,155529.90524085972
647,134857.34879899293
2256,223491.0363499276
979,88889.59334013304
1444,229271.84444318138
2485,116342.16690719582
157,115717.40971881438
88,125817.9908098949
2003,113075.3107737054
186,221978.61009806782
1425,279603.4562655961
2695,125014.85477974766
738,101866.51420522637
395,155885.3057257136
1353,189679.47334563275
1878,147285.42977027554
390,195556.76878481006
1456,247191.02295233367
1103,309535.8072203889
1387,129235.87901434331
2070,133685.1883667271
1199,203720.01674257114
2479,184501.2875727555
501,305471.18164365157
2362,75934.1294953886
1718,198601.39814309787
2188,27933.11950921506
1483,152595.96143263165
2557,77318.41185225446
437,306138.51274486893
2224,200886.91730016086
1628,184703.64208722382
397,130448.0094129942
587,208824.5085784697
2182,510832.2742683838
971,129583.58358483127
2611,155685.53411700204
1887,85954.63800178755
2399,310575.53193947114
2148,225943.95174660982
304,142559.22993495362
1997,121056.6469378579
2817,106220.48727847512
1431,192202.33593632976
427,340587.6385715933
263,125829.90595450802
598,179117.68016077738
2895,258519.19364336185
687,173387.53574637175
1822,120023.70606900626
2191,90881.06862683536
179,139675.80814475042
1009,223102.11981722692
2010,115220.35104090927
1991,158528.19230400812
1411,159745.72724611525
1721,261872.06421209482
1144,200468.90047396367
593,238202.6766048031
575,263947.31690537377
1249,191882.9418191701
1604,119965.61627962047
1064,384879.21763246646
1923,162878.28364654348
1988,84977.1262283365
2325,174777.30342334823
114,217375.12124525208
2700,229216.73477238405
217,148205.11551395626
343,193055.69690330018
386,258051.3701809843
2005,88621.23367296008
2908,130531.28660520082
1814,226248.6922498923
2446,418934.7768066372
208,140939.14483624065
1679,135254.9954289476
822,308948.9895063422
6,190560.4437199767
1781,362563.17751863634
2397,274115.39441381546
2340,289758.93384778674
1618,175748.73591245856
2843,142254.97377117566
1061,335690.915700126
2786,114334.87116385091
1935,116518.19219043202
1341,108737.07954647132
521,301734.95276085986
2136,131913.59364660567
996,192737.07559326573
227,145786.5414570811
135,154463.18560267152
1167,181379.04276835854
294,227889.8688090797
1776,224965.99455705256
540,203179.25814313337
1717,198601.39814309787
2303,112943.90149670228
116,189948.8073928773
127,120841.60877105914
1371,136088.00702428946
1014,191870.7472717662
1507,77991.5432071195
702,167379.35043724003
750,180799.919192006
261,157838.44657238247
1559,63703.25675794823
577,241126.86700156907
2812,223103.57584314363
2080,171818.67477274925
1368,120658.37832249957
2376,114391.96976452284
659,90194.0439481715
1235,125037.2372340549
332,77256.50248746874
1917,138484.13793502323
2094,259360.79283275094
1460,293367.4770055418
1471,203372.4046652146
1509,116089.56668834621
1922,121544.51523384177
433,396910.38137628767
460,272279.8453255921
1116,269949.90151144186
1137,180790.70190724407
53,198652.81834656603
2354,252668.97169983998
1475,222449.2040452295
1761,472451.84786600515
842,141283.8861192905
2739,182992.67382879436
2509,188257.04444262158
1007,215200.16291952305
2610,182975.57629785102
1952,80690.816227272
2719,213976.29627917364
2921,92707.5291119525
1966,140974.21324720737
292,123520.09878410219
1204,218369.40302947778
1829,241316.61222330114
2419,202885.8991528611
391,175615.34029297723
798,134643.04298993456
481,200915.1939782933
193,206624.01969814868
555,125936.20010988748
899,55076.61271949446
2357,208710.86883832337
328,118881.94612302452
1356,115759.33120502878
1154,110797.98760239893
1730,178909.8685996078
2249,151081.0225071452
1119,273049.636734482
2856,132651.66635384926
1394,134795.40249957115
2587,127038.16243130813
61,322120.47901320027
2661,214219.22860275762
2711,141068.48261881474
1147,193034.45028015313
757,137829.77703795527
2623,75099.306290215
2378,174042.8500307026
1413,144323.45402723557
1722,240251.1876602966
1112,218394.17641000866
1623,194844.80204517543
1201,198461.73176474276
1513,94309.45201640026
957,259821.8671637908
1171,274194.02753735014
1145,216144.92137709123
2726,243431.11768527146
703,165515.02800537358
760,62097.86689640183
1964,123345.63308340943
2512,200978.62287620505
159,169028.6927584134
1281,184606.80772799454
468,179890.26632516846
290,131203.5619446955
665,108146.23643155118
1463,290270.66928155406
1792,239676.9484999903
923,142396.8622134684
500,278705.1591121116
1408,139714.2354013359
331,59036.916307122345
170,107255.11876636474
2192,83180.93742398494
2571,308931.34620481345
2314,174510.32128297765
2647,93849.88435521424
422,353865.20518737886
2457,329360.88701837714
1838,215851.8144809621
2805,267911.27642473765
1645,182344.3188805776
1711,289380.12523221463
2825,255312.94439153656
322,325581.2961178505
2103,282411.4199461355
342,144187.7909244931
600,96516.01934637935
488,201516.03219423981
1725,307508.632481706
2246,258576.1475105174
2847,159514.9488359186
806,258650.2732612482
530,244275.30542891854
963,197893.72993890135
2678,64863.13117133496
171,61095.72764900174
2401,350712.5184986248
805,228371.53763373307
2259,198385.98535523063
1748,184244.0191289104
1361,159267.35291488635
1677,146132.35846633994
1406,158856.63106837135
2322,230149.89363633265
688,185389.39262161343
143,143827.9293262739
804,211025.98078749928
1214,180076.18952737373
2828,160094.09956347203
1999,204429.67413593887
2467,217103.23806829503
2665,190926.75506057937
1538,323131.07590123516
398,107184.43638545208
2822,140823.4800760631
2157,152275.00712840422
1856,173248.7739419782
1269,97536.21269338999
2570,122750.26791709947
2320,262895.83572282776
1517,150260.94075527866
2304,113180.93781479803
1312,84163.59692949154
2012,147219.52363847932
506,223917.9625461321
2865,198404.81947494662
2367,129920.55535896031
554,120128.7903718664
238,146984.28740350902
1954,110963.00023232427
2488,162079.04796695855
2291,94633.25493731722
1969,88905.70555632812
2725,160721.20195995175
1482,152595.96143263165
2763,217900.41974189604
503,246551.2009326531
